Data,Descrição,Valor
01/11/2025,Supermercado Pão de Açúcar,-234.50
02/11/2025,Uber - Corrida,-28.90
03/11/2025,Salário Mensal,+5000.00
05/11/2025,Netflix - Assinatura,-45.90
07/11/2025,Farmácia Drogasil,-87.30
10/11/2025,Restaurante Japonês,-156.00
12/11/2025,Posto Shell - Gasolina,-250.00
15/11/2025,Freelance Design,+800.00
18/11/2025,Aluguel Apartamento,-1500.00
20/11/2025,Cinema Cinemark,-68.00
22/11/2025,Academia SmartFit - Mensalidade,-89.90
25/11/2025,Amazon - Compras,-345.20
28/11/2025,Padaria São José,-42.50
